"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","230","TC_API02 - Health check: success field is true","chromium","2026-06-04","passed","2026-06-04","Module 8: API Testing","api\api.spec.js","",""
"","4022","TC_PR10 - /contact page loads with contact content","chromium","2026-06-04","passed","2026-06-04","Module 7: User Profile & Secure Area","profile\profile.spec.js","",""
"","440","TC_API03 - Health check: status field is ""UP""","chromium","2026-06-04","passed","2026-06-04","Module 8: API Testing","api\api.spec.js","",""
"","2682","TC_CMP04 - Dropdown: more than one option is present","chromium","2026-06-04","passed","2026-06-04","Module 6: UI Elements & Comparisons","compare\compare.spec.js","",""
"","3451","TC_PR05 - Profile page body contains ""user"" text","chromium","2026-06-04","passed","2026-06-04","Module 7: User Profile & Secure Area","profile\profile.spec.js","",""
"","3890","TC_P13 - ""All"" category link is present and visible","chromium","2026-06-04","passed","2026-06-04","Module 2: Product Catalog","products\products.spec.js","",""
"","3637","TC_CH03 - Sign In page has email input field","chromium","2026-06-04","passed","2026-06-04","Module 4: Checkout & User Account","checkout\checkout.spec.js","",""
"","5963","TC_N06 - /about page body contains ""about""","chromium","2026-06-04","passed","2026-06-04","Module 5: Site Navigation","navigation\navigation.spec.js","",""
"","5194","TC_PR06 - Valid login reaches secure area","chromium","2026-06-04","passed","2026-06-04","Module 7: User Profile & Secure Area","profile\profile.spec.js","",""
"","7118","TC_N08 - /register page is reachable","chromium","2026-06-04","passed","2026-06-04","Module 5: Site Navigation","navigation\navigation.spec.js","",""
"","5914","TC_A03 - Invalid Password Login","chromium","2026-06-04","passed","2026-06-04","Module 1: Authentication Management","auth\login.spec.js","",""
"","2946","TC_CMP07 - Tables: first table has header cells","chromium","2026-06-04","passed","2026-06-04","Module 6: UI Elements & Comparisons","compare\compare.spec.js","",""
"","3129","TC_C10 - Add DevOps book via direct add-to-cart URL","chromium","2026-06-04","passed","2026-06-04","Module 3: Shopping Cart","cart\cart.spec.js","",""
"","251","TC_API10 - GET /status-codes/500 returns HTTP 500","chromium","2026-06-04","passed","2026-06-04","Module 8: API Testing","api\api.spec.js","",""
"","2862","TC_CH08 - Sign Up page loads with input fields","chromium","2026-06-04","passed","2026-06-04","Module 4: Checkout & User Account","checkout\checkout.spec.js","",""
"","6040","TC_N05 - /test-cases page loads successfully","chromium","2026-06-04","passed","2026-06-04","Module 5: Site Navigation","navigation\navigation.spec.js","",""
"","7032","TC_N13 - /inputs page has a number input field","chromium","2026-06-04","passed","2026-06-04","Module 5: Site Navigation","navigation\navigation.spec.js","",""
"","7222","TC_C11 - Add multiple books sequentially without error","chromium","2026-06-04","passed","2026-06-04","Module 4: Checkout & User Account","checkout\checkout.spec.js","",""
"","48680","TC_P04 - Book titles (h5) are displayed","chromium","2026-06-04","passed","2026-06-04","Module 2: Product Catalog","products\products.spec.js","",""
"","7911","TC_A12 - New User Registration","chromium","2026-06-04","passed","2026-06-04","Module 1: Authentication Management","auth\login.spec.js","",""
"","2437","TC_C03 - Empty cart page body contains cart-related text","chromium","2026-06-04","passed","2026-06-04","Module 3: Shopping Cart","cart\cart.spec.js","",""
"","4010","TC_N01 - Home page title contains ""automation""","chromium","2026-06-04","passed","2026-06-04","Module 5: Site Navigation","navigation\navigation.spec.js","",""
"","2511","TC_C05 - Cart icon image (cart.png) is visible","chromium","2026-06-04","passed","2026-06-04","Module 3: Shopping Cart","cart\cart.spec.js","",""
"","5087","TC_N15 - /dynamic-content page loads with body content","chromium","2026-06-04","passed","2026-06-04","Module 5: Site Navigation","navigation\navigation.spec.js","",""
"","8772","TC_A01 - Valid User Login","chromium","2026-06-04","passed","2026-06-04","Module 1: Authentication Management","auth\login.spec.js","",""
"","3781","TC_PR15 - Direct /secure access results in valid page URL","chromium","2026-06-04","passed","2026-06-04","Module 7: User Profile & Secure Area","profile\profile.spec.js","",""
"","6825","TC_N10 - /status-codes page loads with status content","chromium","2026-06-04","passed","2026-06-04","Module 5: Site Navigation","navigation\navigation.spec.js","",""
"","3460","TC_CH10 - Sign In page title is not empty","chromium","2026-06-04","passed","2026-06-04","Module 4: Checkout & User Account","checkout\checkout.spec.js","",""
"","6985","TC_N12 - /dropdown page has a select element","chromium","2026-06-04","passed","2026-06-04","Module 5: Site Navigation","navigation\navigation.spec.js","",""
"","48174","TC_P15 - Sort by price DESC updates URL","chromium","2026-06-04","passed","2026-06-04","Module 2: Product Catalog","products\products.spec.js","",""
"","4862","TC_C07 - Add first book via bookstore listing button","chromium","2026-06-04","passed","2026-06-04","Module 3: Shopping Cart","cart\cart.spec.js","",""
"","6671","TC_N09 - /forgot-password page is reachable","chromium","2026-06-04","passed","2026-06-04","Module 5: Site Navigation","navigation\navigation.spec.js","",""
"","6647","TC_A09 - Forgot Password Link Visible and Clickable","chromium","2026-06-04","passed","2026-06-04","Module 1: Authentication Management","auth\login.spec.js","",""
"","9305","TC_C11 - Add multiple books sequentially without error","chromium","2026-06-04","passed","2026-06-04","Module 3: Shopping Cart","cart\cart.spec.js","",""
"","6080","TC_P08 - JavaScript book detail shows title and price","chromium","2026-06-04","passed","2026-06-04","Module 2: Product Catalog","products\products.spec.js","",""
"","228","TC_API04 - Health check: message is ""API is up!""","chromium","2026-06-04","passed","2026-06-04","Module 8: API Testing","api\api.spec.js","",""
"","2822","TC_C15 - Cart page renders without JavaScript errors","chromium","2026-06-04","passed","2026-06-04","Module 3: Shopping Cart","cart\cart.spec.js","",""
"","3853","TC_CMP02 - Checkboxes: second checkbox toggles on click","chromium","2026-06-04","passed","2026-06-04","Module 6: UI Elements & Comparisons","compare\compare.spec.js","",""
"","4866","TC_CH09 - Invalid credentials do not reach dashboard","chromium","2026-06-04","passed","2026-06-04","Module 4: Checkout & User Account","checkout\checkout.spec.js","",""
"","3685","TC_PR02 - Profile heading contains user/profile/welcome","chromium","2026-06-04","passed","2026-06-04","Module 7: User Profile & Secure Area","profile\profile.spec.js","",""
"","3546","TC_P05 - Book prices with € symbol are shown","chromium","2026-06-04","passed","2026-06-04","Module 2: Product Catalog","products\products.spec.js","",""
"","3050","TC_N03 - Tips nav link is visible","chromium","2026-06-04","passed","2026-06-04","Module 5: Site Navigation","navigation\navigation.spec.js","",""
"","4267","TC_C06 - Clicking cart icon navigates to cart page","chromium","2026-06-04","passed","2026-06-04","Module 3: Shopping Cart","cart\cart.spec.js","",""
"","4628","TC_CH07 - Clicking Sign Up link navigates to signup page","chromium","2026-06-04","passed","2026-06-04","Module 4: Checkout & User Account","checkout\checkout.spec.js","",""
"","3632","TC_CH01 - Sign In page loads with correct URL","chromium","2026-06-04","passed","2026-06-04","Module 4: Checkout & User Account","checkout\checkout.spec.js","",""
"","3763","TC_PR01 - /users/1 profile page loads","chromium","2026-06-04","passed","2026-06-04","Module 7: User Profile & Secure Area","profile\profile.spec.js","",""
"","4237","TC_CMP15 - Notification Message page has a clickable link","chromium","2026-06-04","passed","2026-06-04","Module 6: UI Elements & Comparisons","compare\compare.spec.js","",""
"","5440","TC_A02 - Invalid Username Login","chromium","2026-06-04","passed","2026-06-04","Module 1: Authentication Management","auth\login.spec.js","",""
"","3589","TC_PR11 - Contact page has input or textarea fields","chromium","2026-06-04","passed","2026-06-04","Module 7: User Profile & Secure Area","profile\profile.spec.js","",""
"","3669","TC_CMP08 - Tables: data cells (td) are populated","chromium","2026-06-04","passed","2026-06-04","Module 6: UI Elements & Comparisons","compare\compare.spec.js","",""
"","6141","TC_P12 - Agile Testing book detail page loads correctly","chromium","2026-06-04","passed","2026-06-04","Module 2: Product Catalog","products\products.spec.js","",""
"","4351","TC_C04 - Cart icon is visible on bookstore listing","chromium","2026-06-04","passed","2026-06-04","Module 3: Shopping Cart","cart\cart.spec.js","",""
"","275","TC_API12 - GET book detail endpoint returns HTTP 200","chromium","2026-06-04","passed","2026-06-04","Module 8: API Testing","api\api.spec.js","",""
"","3096","TC_PR12 - /feedback page loads with a form element","chromium","2026-06-04","passed","2026-06-04","Module 7: User Profile & Secure Area","profile\profile.spec.js","",""
"","4804","TC_CMP12 - Add/Remove Elements: Add creates a Delete button","chromium","2026-06-04","passed","2026-06-04","Module 6: UI Elements & Comparisons","compare\compare.spec.js","",""
"","6369","TC_P14 - Sort by price ASC updates URL","chromium","2026-06-04","passed","2026-06-04","Module 2: Product Catalog","products\products.spec.js","",""
"","3469","TC_PR13 - /random-number page generates a number in the body","chromium","2026-06-04","passed","2026-06-04","Module 7: User Profile & Secure Area","profile\profile.spec.js","",""
"","3809","TC_CMP11 - Key Presses: pressing a key updates the result","chromium","2026-06-04","passed","2026-06-04","Module 6: UI Elements & Comparisons","compare\compare.spec.js","",""
"","3694","TC_CMP06 - Dropdown: can select Option 2","chromium","2026-06-04","passed","2026-06-04","Module 6: UI Elements & Comparisons","compare\compare.spec.js","",""
"","8054","TC_A13 - Re-Login After Logout","chromium","2026-06-04","passed","2026-06-04","Module 1: Authentication Management","auth\login.spec.js","",""
"","5357","TC_CH05 - Sign In page has a submit button","chromium","2026-06-04","passed","2026-06-04","Module 4: Checkout & User Account","checkout\checkout.spec.js","",""
"","250","TC_API09 - GET /status-codes/404 returns HTTP 404","chromium","2026-06-04","passed","2026-06-04","Module 8: API Testing","api\api.spec.js","",""
"","3698","TC_PR03 - Profile page shows an avatar image","chromium","2026-06-04","passed","2026-06-04","Module 7: User Profile & Secure Area","profile\profile.spec.js","",""
"","3791","TC_CMP05 - Dropdown: can select Option 1","chromium","2026-06-04","passed","2026-06-04","Module 6: UI Elements & Comparisons","compare\compare.spec.js","",""
"","2940","TC_CMP09 - Radio Buttons: at least one radio is selectable","chromium","2026-06-04","passed","2026-06-04","Module 6: UI Elements & Comparisons","compare\compare.spec.js","",""
"","3692","TC_CH06 - Sign In page has Sign Up link","chromium","2026-06-04","passed","2026-06-04","Module 4: Checkout & User Account","checkout\checkout.spec.js","",""
"","4605","TC_A05 - Empty Password Field Validation","chromium","2026-06-04","passed","2026-06-04","Module 1: Authentication Management","auth\login.spec.js","",""
"","1078","TC_API01 - GET /api/health-check returns HTTP 200","chromium","2026-06-04","passed","2026-06-04","Module 8: API Testing","api\api.spec.js","",""
"","636","TC_API11 - GET /bookstore returns HTTP 200","chromium","2026-06-04","passed","2026-06-04","Module 8: API Testing","api\api.spec.js","",""
"","7031","TC_N11 - /checkboxes page has checkbox inputs","chromium","2026-06-04","passed","2026-06-04","Module 5: Site Navigation","navigation\navigation.spec.js","",""
"","2839","TC_C13 - Cart page has Sign In link","chromium","2026-06-04","passed","2026-06-04","Module 3: Shopping Cart","cart\cart.spec.js","",""
"","6815","TC_PR14 - Logout from secure area redirects to /login","chromium","2026-06-04","passed","2026-06-04","Module 7: User Profile & Secure Area","profile\profile.spec.js","",""
"","3170","TC_CH12 - Sign In link text reads ""Sign In""","chromium","2026-06-04","passed","2026-06-04","Module 4: Checkout & User Account","checkout\checkout.spec.js","",""
"","6170","TC_N14 - /tables page has a visible table","chromium","2026-06-04","passed","2026-06-04","Module 5: Site Navigation","navigation\navigation.spec.js","",""
"","3240","TC_C14 - Cart page title contains ""cart""","chromium","2026-06-04","passed","2026-06-04","Module 3: Shopping Cart","cart\cart.spec.js","",""
"","6738","TC_N04 - /tips page loads successfully","chromium","2026-06-04","passed","2026-06-04","Module 5: Site Navigation","navigation\navigation.spec.js","",""
"","239","TC_API07 - GET /api/my-ip/ response body is not empty","chromium","2026-06-04","passed","2026-06-04","Module 8: API Testing","api\api.spec.js","",""
"","6587","TC_A07 - User Logout","chromium","2026-06-04","passed","2026-06-04","Module 1: Authentication Management","auth\login.spec.js","",""
"","3938","TC_CMP03 - Checkboxes: at least 2 checkboxes exist","chromium","2026-06-04","passed","2026-06-04","Module 6: UI Elements & Comparisons","compare\compare.spec.js","",""
"","251","TC_API06 - GET /api/my-ip/ returns HTTP 200","chromium","2026-06-04","passed","2026-06-04","Module 8: API Testing","api\api.spec.js","",""
"","3185","TC_C08 - Add JavaScript book via direct add-to-cart URL","chromium","2026-06-04","passed","2026-06-04","Module 3: Shopping Cart","cart\cart.spec.js","",""
"","5149","TC_A06 - Both Fields Empty Validation","chromium","2026-06-04","passed","2026-06-04","Module 1: Authentication Management","auth\login.spec.js","",""
"","6888","TC_A08 - Session Persistence After Refresh","chromium","2026-06-04","passed","2026-06-04","Module 1: Authentication Management","auth\login.spec.js","",""
"","3880","TC_CMP10 - Inputs: entering a number reflects the value","chromium","2026-06-04","passed","2026-06-04","Module 6: UI Elements & Comparisons","compare\compare.spec.js","",""
"","2897","TC_CMP14 - Broken Images page loads with img elements","chromium","2026-06-04","passed","2026-06-04","Module 6: UI Elements & Comparisons","compare\compare.spec.js","",""
"","4161","TC_P02 - Bookstore page has correct title","chromium","2026-06-04","passed","2026-06-04","Module 2: Product Catalog","products\products.spec.js","",""
"","3903","TC_CMP13 - Dynamic Table page loads with a table","chromium","2026-06-04","passed","2026-06-04","Module 6: UI Elements & Comparisons","compare\compare.spec.js","",""
"","4077","TC_PR09 - Secure area heading is visible after login","chromium","2026-06-04","passed","2026-06-04","Module 7: User Profile & Secure Area","profile\profile.spec.js","",""
"","232","TC_API05 - Health check Content-Type is application/json","chromium","2026-06-04","passed","2026-06-04","Module 8: API Testing","api\api.spec.js","",""
"","3867","TC_CH02 - Sign In page has ""Sign in"" heading","chromium","2026-06-04","passed","2026-06-04","Module 4: Checkout & User Account","checkout\checkout.spec.js","",""
"","2896","TC_N02 - Logo image is visible on home page","chromium","2026-06-04","passed","2026-06-04","Module 5: Site Navigation","navigation\navigation.spec.js","",""
"","3744","TC_CMP01 - Checkboxes: first checkbox toggles on click","chromium","2026-06-04","passed","2026-06-04","Module 6: UI Elements & Comparisons","compare\compare.spec.js","",""
"","3310","TC_C09 - Add book from book detail page","chromium","2026-06-04","passed","2026-06-04","Module 3: Shopping Cart","cart\cart.spec.js","",""
"","3903","TC_A11 - Login Page Title Correct","chromium","2026-06-04","passed","2026-06-04","Module 1: Authentication Management","auth\login.spec.js","",""
"","5267","TC_PR08 - Secure area has logout button","chromium","2026-06-04","passed","2026-06-04","Module 7: User Profile & Secure Area","profile\profile.spec.js","",""
"","48910","TC_P11 - DevOps book detail page loads correctly","chromium","2026-06-04","passed","2026-06-04","Module 2: Product Catalog","products\products.spec.js","",""
"","5427","TC_A04 - Empty Username Field Validation","chromium","2026-06-04","passed","2026-06-04","Module 1: Authentication Management","auth\login.spec.js","",""
"","434","TC_API08 - GET /status-codes/200 returns HTTP 200","chromium","2026-06-04","passed","2026-06-04","Module 8: API Testing","api\api.spec.js","",""
"","6952","TC_N07 - /login page is reachable","chromium","2026-06-04","passed","2026-06-04","Module 5: Site Navigation","navigation\navigation.spec.js","",""
"","6559","TC_P10 - Book detail page shows a book image","chromium","2026-06-04","passed","2026-06-04","Module 2: Product Catalog","products\products.spec.js","",""
"","250","TC_API13 - GET /bookstore/cart returns HTTP 200","chromium","2026-06-04","passed","2026-06-04","Module 8: API Testing","api\api.spec.js","",""
"","5730","TC_CH14 - Empty email on Sign In form does not crash","chromium","2026-06-04","passed","2026-06-04","Module 4: Checkout & User Account","checkout\checkout.spec.js","",""
"","2562","TC_C12 - Cart page has ""All Books"" navigation link","chromium","2026-06-04","passed","2026-06-04","Module 3: Shopping Cart","cart\cart.spec.js","",""
"","6691","TC_PR07 - Secure area shows success flash message","chromium","2026-06-04","passed","2026-06-04","Module 7: User Profile & Secure Area","profile\profile.spec.js","",""
